sector,tons_landfill,tons_composting,tons_donations,tons_animal_feed,tons_anaerobic_digestion,tons_incineration,tons_not_harvested,tons_land_application,tons_industrial_uses,tons_sewer,tons_dumping
Farm,0.011261413871567849,0,0.015803150913390126,0.10819348801776263,0,9.606781085722652e-4,0.8255836986087081,0,0,0,0.03819757047999903
Foodservice,0.7758628829893469,0.10284334161829971,0.008573648833376055,0.001323617123540699,3.447746952346963e-5,0.08330223733009705,0,0,0,0.028059794635816232,0
Manufacturing,0.03659074069394231,0.10366311288988912,0.03859158741283699,0.3841259573122711,0.06765136295404535,0.0035182318486837137,0,0.2951172174843914,0.07074178940393991,0,0
Residential,0.47800504265146276,0.3418632988655313,0,0.01281378585314713,0,0.06558894839313797,0,0,0,0.1017289242367209,0
Retail,0.3014989363778911,0.181800551126471,0.19364310542443403,0.17796850754254506,0.04875762941086054,0.04138017337543543,0,0.010552934221849403,0.0443981625205134,0,0
