sector,tons_surplus,us_dollars_surplus,surplus_total_100_year_mtco2e_footprint,landfill_share,priority_score
Residential,23463708.325796604,141234166786.21344,100047989.44226517,0.47800504265146276,0.9202073974973546
Foodservice,12537541.853836237,156522069906.27374,63606933.65413266,0.7758628829893469,0.6836922502058781
Manufacturing,13167948.608540205,42684293710.08206,38646848.05608039,0.03659074069394231,0.3137240911036897
Farm,16921937.256061263,13367948538.195444,3562336.6866746927,0.011261413871567849,0.2284572016921168
Retail,4625735.971338593,30334875686.726578,15148491.831979545,0.3014989363778911,0.11666789204027989
