sector,Buyer Rejections,Excess,Not Harvested,Spoiled,Date Label Concerns,Mistakes & Malfunctions,Other,Trimmings & Byproducts,Food Safety
Farm,620465.0413422632,326005.34368992306,13970475.458955383,2004991.3235455265,0,0,0,0,0
Foodservice,0,11342502.69178845,0,393051.9976963272,400045.78348769265,125985.23439469365,25935.23686934194,248438.03486281872,0
Manufacturing,1023287.3992400457,278837.1034815667,0,0,0,0,0,11865824.105818592,0
Residential,0,4290325.331857087,0,5864689.488098567,1252559.1961430938,139312.91902096817,1245970.9146845164,9105299.759347966,1565550.7166443933
Retail,0,391669.2526507852,0,885839.140721336,2179989.2353230226,1026968.6176719776,71251.80888955701,67710.56058569346,2312.8679856692956
