feature,high,low,MeanDecreaseAccuracy,MeanDecreaseGini
tons_composting,18.4425270521031,20.040284852117328,26.852285542361507,121.19053671678729
tons_landfill,23.12402234161465,36.17146291235363,40.99896229617474,109.41137675835266
gallons_water_footprint,11.390929467238294,24.26723380320714,25.427376001624356,59.726625094512016
tons_animal_feed,22.12372969156662,27.109400736938586,29.19731899124713,49.3621461453311
tons_donations,14.216448374001452,12.565490451267193,14.631149705920215,19.443217649813004
